Name,SKU,Description,Brand
"Road-750 Black, 58",BK-R19B-58,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,ACME Corporation
LL Road Seat/Saddle,SE-R581,Lightweight foam-padded saddle.,Hill's Bicycle Service
Rear Brakes,RB-9231,,Superior Bicycles
External Lock Washer 9,LE-1201,,Expert Bike Co
Hex Nut 2,HN-5400,,Norstan Bike Hut
Thin-Jam Hex Nut 8,HJ-7162,,Advanced Bicycles
Hex Nut 3,HN-6320,,Norstan Bike Hut
Thin-Jam Lock Nut 12,LJ-9080,,Leaf River Terrain
Lock Nut 17,LN-1220,,Bergeron Off-Roads
HL Nipple,NI-9522,,Consumer Cycles
Lock Nut 20,LN-5811,,Mountain Works
"Mountain-100 Silver, 38",BK-M82S-38,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",ACME Corporation
"Mountain-100 Silver, 44",BK-M82S-44,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",ACME Corporation
"HL Road Frame - Red, 58",FR-R92R-58,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
"Men's Sports Shorts, M",SH-M897-M,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Fitness Association
ML Mountain Tire,TI-M602,"Great traction, high-density rubber.",Sport Fan Co.
"Mountain-200 Silver, 42",BK-M68S-42,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,ACME Corporation
"Road-550-W Yellow, 42",BK-R64Y-42,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",ACME Corporation
Lock Nut 11,LN-5162,,Bergeron Off-Roads
"Long-Sleeve Logo Jersey, M",LJ-0192-M,Unisex long-sleeve AWC logo microfiber cycling jersey,Integrated Sport Products
Thin-Jam Lock Nut 2,LJ-1428,,Australia Bike Retailer
Chainring,CR-7833,,Training Systems
Thin-Jam Hex Nut 14,HJ-5818,,Advanced Bicycles
Thin-Jam Lock Nut 16,LJ-3416,,Leaf River Terrain
Lock Nut 10,LN-5161,,Mountain Works
Lock Nut 4,LN-8320,,Bergeron Off-Roads
ML Road Tire,TI-R628,Higher density rubber.,Signature Cycles
HL Touring Handlebars,HB-T928,A light yet stiff aluminum bar for long distance riding.,ACME Corporation
"ML Road Frame - Red, 52",FR-R72R-52,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",ACME Corporation
"LL Touring Frame - Blue, 62",FR-T67U-62,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,ACME Corporation
"Touring-1000 Blue, 50",BK-T79U-50,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,ACME Corporation
"Touring-1000 Yellow, 60",BK-T79Y-60,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,ACME Corporation
Lock Nut 7,LN-1224,,Bergeron Off-Roads
Lock Nut 3,LN-6320,,Bergeron Off-Roads
Steerer,SR-2098,,ACME Corporation
Hex Nut 6,HN-1032,,Norstan Bike Hut
Flat Washer 1,FW-1000,,Continental Pro Cycles
LL Road Rim,RM-R436,,Electronic Bike Repair & Supplies
"Racing Socks, M",SO-R809-M,"Thin, lightweight and durable with cuffs that stay up.",Jeff's Sporting Goods
Lock Nut 12,LN-3816,,Bergeron Off-Roads
External Lock Washer 5,LE-1400,,Pro Sport Industries
"Mountain-500 Silver, 42",BK-M18S-42,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",ACME Corporation
"HL Road Frame - Red, 62",FR-R92R-62,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
Road Tire Tube,TT-R982,Conventional all-purpose tube.,Victory Bikes
