StyleCode,Lowest Price,Highest Price,
"AR-5381",1.99,1.99,
"BA-8327",1.99,1.99,
"BB-7421",53.99,53.99,
"BB-8107",101.24,101.24,
"BB-9108",97.19,97.19,
"BC-M005",9.99,9.99,
"BC-R205",8.99,8.99,
"BE-2349",1.99,1.99,
"BE-2908",1.99,1.99,
"BK-M18B",404.99,404.99,
"BK-M18S",423.74,423.74,
"BK-M38S",577.12,577.12,
"BK-M47B",647.99,809.99,
"BK-M68B",1376.99,1721.24,
"BK-M68S",1391.99,1739.99,
"BK-M82B",2024.99,2531.24,
"BK-M82S",2039.99,2549.99,
"BK-R19B",323.99,404.99,
"BK-R50B",469.79,587.24,
"BK-R50R",587.24,587.24,
"BK-R64Y",840.37,840.37,
"BK-R68R",1093.49,1093.49,
"BK-R79Y",1275.74,1275.74,
"BK-R89B",1466.01,1832.51,
"BK-R89R",1832.51,1832.51,
"BK-R93R",2146.96,2683.70,
"BK-T18U",445.41,556.76,
"BK-T18Y",445.41,556.76,
"BK-T44U",728.91,911.14,
"BK-T79U",1788.05,1788.05,
"BK-T79Y",1788.05,1788.05,
"BL-2036",1.99,1.99,
"CA-1098",8.99,8.99,
"CA-5965",1.99,1.99,
"CA-6738",1.99,1.99,
"CA-7457",1.99,1.99,
"CB-2903",1.59,1.59,
"CH-0234",16.19,16.19,
"CL-9009",7.95,7.95,
"CN-6137",1.59,1.59,
"CR-7833",1.99,1.99,
"CR-9981",1.99,1.99,
"CS-2812",1.99,1.99,
"CS-4759",175.49,175.49,
"CS-6583",192.37,192.37,
"CS-9183",303.74,303.74,
"DC-8732",1.99,1.99,
"DC-9824",1.99,1.99,
"DT-2377",1.99,1.99,
"EC-M092",1.59,1.59,
"EC-R098",1.99,1.99,
"EC-T209",1.99,1.99,
"FB-9873",106.50,106.50,
"FC-3654",1.99,1.99,
"FC-3982",1.99,1.99,
"FD-2342",73.19,73.19,
"FE-3760",1.99,1.99,
"FE-6654",21.98,21.98,
"FH-2981",1.99,1.99,
"FK-1639",118.58,118.58,
"FK-5136",175.49,175.49,
"FK-9939",183.59,183.59,
"FL-2301",1.59,1.59,
"FR-M21B",187.34,187.34,
"FR-M21S",158.43,198.04,
"FR-M63B",209.26,261.57,
"FR-M63S",218.45,273.07,
"FR-M94B",809.76,1012.20,
"FR-M94S",818.70,1023.38,
"FR-R38B",202.33,252.92,
"FR-R38R",252.92,252.92,
"FR-R72R",446.12,446.12,
"FR-R72Y",356.90,446.12,
"FR-R92B",1073.63,1073.63,
"FR-R92R",858.90,1073.63,
"FR-T67U",200.05,250.07,
"FR-T67Y",200.05,250.07,
"FR-T98U",602.35,752.93,
"FR-T98Y",602.35,752.93,
"FW-1000",1.99,1.99,
"FW-1200",1.99,1.99,
"FW-1400",1.99,1.99,
"FW-3400",1.99,1.99,
"FW-3800",1.99,1.99,
"FW-5160",1.99,1.99,
"FW-5800",1.59,1.59,
"FW-7160",1.99,1.99,
"FW-9160",1.99,1.99,
"FW-M423",48.60,48.60,
"FW-M762",156.77,156.77,
"FW-R623",85.57,85.57,
"FW-R762",198.71,198.71,
"FW-R820",247.55,247.55,
"FW-T905",174.41,174.41,
"GL-F110",30.39,37.99,
"GL-H102",19.59,24.49,
"GP-0982",1.99,1.99,
"GT-0820",1.59,1.59,
"GT-1209",1.99,1.99,
"GT-2908",1.59,1.59,
"HB-M243",44.54,44.54,
"HB-M763",61.92,61.92,
"HB-M918",96.22,96.22,
"HB-R504",44.54,44.54,
"HB-R720",49.54,49.54,
"HB-R956",96.22,96.22,
"HB-T721",46.09,46.09,
"HB-T928",91.57,91.57,
"HJ-1213",1.99,1.99,
"HJ-1220",1.99,1.99,
"HJ-1420",1.99,1.99,
"HJ-1428",1.99,1.99,
"HJ-3410",1.99,1.99,
"HJ-3416",1.59,1.59,
"HJ-3816",1.99,1.99,
"HJ-3824",1.99,1.99,
"HJ-5161",1.99,1.99,
"HJ-5162",1.99,1.99,
"HJ-5811",1.99,1.99,
"HJ-5818",1.99,1.99,
"HJ-7161",1.99,1.99,
"HJ-7162",1.99,1.99,
"HJ-9080",1.99,1.99,
"HJ-9161",1.99,1.99,
"HL-U509",34.99,34.99,
"HN-1024",1.99,1.99,
"HN-1032",1.99,1.99,
"HN-1213",1.99,1.99,
"HN-1220",1.99,1.99,
"HN-1224",1.99,1.99,
"HN-1420",1.99,1.99,
"HN-1428",1.99,1.99,
"HN-3410",1.59,1.59,
"HN-3416",1.59,1.59,
"HN-3816",1.99,1.99,
"HN-3824",1.99,1.99,
"HN-4402",1.99,1.99,
"HN-5161",1.99,1.99,
"HN-5162",1.99,1.99,
"HN-5400",1.99,1.99,
"HN-5811",1.99,1.99,
"HN-5818",1.59,1.59,
"HN-6320",1.99,1.99,
"HN-7161",1.99,1.99,
