SKU,Location,Quantity
HN-1032,Subassembly,547
LI-1000,Tool Crib,299
LW-3800,Miscellaneous Storage,574
LW-6000,Tool Crib,513
LW-6000,Miscellaneous Storage,580
MP-4960,Metal Storage,374
SH-W890-L,Finished Goods Storage,288
SJ-0194-L,Finished Goods Storage,36
TI-R628,Subassembly,192
PD-M340,Miscellaneous Storage,180
PD-M282,Subassembly,156
BK-T79U-50,Finished Goods Storage,67
PD-M562,Subassembly,153
FD-2342,Subassembly,270
CH-0234,Subassembly,161
BK-T18Y-54,Final Assembly,36
WB-H098,Finished Goods Storage,252
SP-2981,Final Assembly,444
SR-2098,Miscellaneous Storage,427
MP-4960,Frame Forming,196
MS-0253,Frame Forming,176
LJ-7161,Miscellaneous Storage,515
LR-2398,Miscellaneous Storage,521
LE-1400,Subassembly,308
HT-2981,Metal Storage,372
HU-6280,Metal Storage,260
GT-0820,Miscellaneous Storage,243
HJ-1220,Miscellaneous Storage,353
HJ-1220,Subassembly,368
HJ-3410,Tool Crib,499
CB-2903,Metal Storage,372
DC-8732,Final Assembly,641
LI-1400,Subassembly,366
LR-2398,Tool Crib,627
LN-5400,Tool Crib,598
LJ-1420,Subassembly,494
LW-9160,Subassembly,640
PA-529S,Paint Shop,49
FR-M94S-38,Specialized Paint,91
BK-M47B-40,Final Assembly,121
FR-R72Y-38,Frame Forming,115
HS-2451,Subassembly,216
FR-M21B-40,Debur and Polish,129
RB-9231,Tool Crib,337
PD-R853,Miscellaneous Storage,267
BK-T18U-58,Finished Goods Storage,83
BK-M18B-42,Finished Goods Storage,86
SL-0931,Miscellaneous Storage,924
RA-2345,Miscellaneous Storage,372
SA-R522,Final Assembly,220
HN-6320,Subassembly,372
HN-3816,Subassembly,304
HJ-3816,Tool Crib,411
FL-2301,Subassembly,195
FC-3654,Frame Forming,406
FE-3760,Frame Forming,441
HN-1220,Tool Crib,244
HN-1213,Miscellaneous Storage,299
LN-3416,Miscellaneous Storage,505
BK-R89R-52,Finished Goods Storage,67
BK-R68R-48,Finished Goods Storage,56
BK-R50R-52,Final Assembly,108
FW-T905,Subassembly,304
BK-M18S-48,Final Assembly,56
BK-M18B-52,Final Assembly,30
BK-M38S-40,Finished Goods Storage,86
BK-M38S-46,Finished Goods Storage,60
BB-7421,Miscellaneous Storage,358
SE-R995,Subassembly,145
GL-H102-L,Finished Goods Storage,36
BK-R68R-52,Finished Goods Storage,116
LJ-0192-M,Finished Goods Storage,180
SA-T872,Subassembly,331
EC-R098,Frame Forming,576
CN-6137,Subassembly,641
FW-3400,Tool Crib,358
HJ-1220,Tool Crib,363
HJ-3824,Subassembly,412
FW-5800,Tool Crib,318
DT-2377,Subassembly,513
HJ-7161,Subassembly,547
HU-8998,Metal Storage,283
PA-632U,Paint Shop,49
LJ-1428,Tool Crib,616
LJ-3816,Miscellaneous Storage,505
LJ-0192-X,Finished Goods Storage,252
PD-R563,Miscellaneous Storage,176
BK-T18U-62,Final Assembly,105
FR-M21S-40,Specialized Paint,136
BK-T79U-46,Finished Goods Storage,99
BK-T44U-46,Finished Goods Storage,73
BK-T18U-44,Final Assembly,72
BK-M18B-44,Final Assembly,73
SE-R581,Miscellaneous Storage,283
BK-R89B-52,Final Assembly,88
LN-6320,Subassembly,484
MP-2066,Frame Forming,198
LI-3800,Miscellaneous Storage,312
LE-6000,Tool Crib,414
DC-9824,Final Assembly,475
GT-0820,Tool Crib,262
FW-1200,Tool Crib,369
LI-5800,Tool Crib,248
RA-7490,Subassembly,283
LN-1220,Tool Crib,635
HY-1023-70,Finished Goods Storage,108
SA-T872,Miscellaneous Storage,280
SD-9872,Subassembly,228
BK-M82S-38,Finished Goods Storage,49
TI-T723,Subassembly,249
PD-R563,Tool Crib,168
BK-R79Y-40,Final Assembly,86
BK-R79Y-44,Finished Goods Storage,73
BB-8107,Miscellaneous Storage,321
FR-M21B-40,Frame Forming,102
FR-M21S-40,Final Assembly,134
BK-T18Y-58,Final Assembly,116
BK-R68R-52,Final Assembly,49
BC-M005,Finished Goods Storage,288
LW-9160,Miscellaneous Storage,585
MP-4960,Sheet Metal Racks,427
BE-2908,Tool Crib,512
HJ-5811,Tool Crib,363
FH-2981,Frame Forming,233
HT-8019,Frame Welding,544
LW-5800,Miscellaneous Storage,579
LN-1420,Tool Crib,625
BK-R89R-48,Finished Goods Storage,99
BK-R89B-44,Finished Goods Storage,56
FK-5136,Subassembly,280
HB-M243,Subassembly,316
BK-M68S-38,Final Assembly,62
SS-2985,Miscellaneous Storage,715
RC-0291,Subassembly,121
FR-M21B-40,Subassembly,140
PD-R347,Subassembly,152
SE-R581,Final Assembly,302
HS-3479,Subassembly,219
LI-7160,Subassembly,385
LN-8320,Miscellaneous Storage,512
LW-3400,Tool Crib,505
MS-2348,Frame Forming,324
PA-632U,Paint,25
SA-M198,Final Assembly,212
HN-1213,Tool Crib,249
DC-8732,Miscellaneous Storage,540
HN-6320,Miscellaneous Storage,147
HU-6280,Frame Welding,284
LE-1000,Subassembly,318
LN-9161,Subassembly,500
LI-6000,Tool Crib,246
LN-1213,Subassembly,516
LJ-5811,Subassembly,491
FK-5136,Metal Storage,356
GL-F110-S,Finished Goods Storage,72
SO-B909-M,Finished Goods Storage,180
BK-R93R-62,Final Assembly,60
BK-M68B-38,Finished Goods Storage,100
RW-M762,Miscellaneous Storage,411
SE-R908,Subassembly,353
SE-T762,Subassembly,83
LN-1420,Miscellaneous Storage,520
LN-7161,Subassembly,488
LN-1224,Miscellaneous Storage,524
RF-9198,Miscellaneous Storage,390
LE-3800,Tool Crib,460
FL-2301,Frame Forming,278
HJ-5162,Subassembly,374
GT-2908,Miscellaneous Storage,214
LE-1200,Tool Crib,310
HN-1213,Subassembly,393
LN-8320,Tool Crib,617
LJ-5161,Subassembly,484
LJ-3416,Tool Crib,612
TI-M267,Subassembly,369
FD-2342,Metal Storage,347
BK-T79U-50,Final Assembly,81
LO-C100,Finished Goods Storage,252
BK-R64Y-48,Final Assembly,78
BK-R50R-62,Finished Goods Storage,67
RC-0291,Tool Crib,164
BK-M47B-38,Final Assembly,62
FK-9939,Subassembly,286
PU-M044,Finished Goods Storage,324
BK-T18Y-54,Finished Goods Storage,126
SE-T924,Miscellaneous Storage,425
LJ-3410,Miscellaneous Storage,508
NI-4127,Miscellaneous Storage,600
MS-2341,Frame Forming,457
HT-2981,Frame Welding,550
HT-8019,Metal Storage,366
HN-1032,Tool Crib,585
GT-1209,Miscellaneous Storage,228
LW-7160,Miscellaneous Storage,582
SA-R127,Miscellaneous Storage,272
LN-7162,Subassembly,491
LN-5818,Subassembly,481
PD-M340,Subassembly,155
BK-T44U-50,Final Assembly,123
RW-M762,Subassembly,401
FW-R623,Metal Storage,428
RW-T905,Subassembly,476
SB-M891-M,Finished Goods Storage,108
HB-M763,Frame Welding,273
BK-M38S-38,Finished Goods Storage,51
LI-6000,Subassembly,387
RM-R436,Miscellaneous Storage,406
MS-1981,Frame Forming,196
HJ-3816,Subassembly,619
EC-R098,Metal Storage,558
HN-5818,Tool Crib,296
HN-5161,Tool Crib,524
LJ-3410,Subassembly,491
BK-T18U-54,Final Assembly,35
RA-H123,Finished Goods Storage,0
BK-M82S-44,Finished Goods Storage,83
TG-W091-L,Finished Goods Storage,36
FK-5136,Frame Forming,246
FB-9873,Subassembly,420
PD-T852,Subassembly,388
TI-R982,Subassembly,228
BK-M38S-46,Final Assembly,104
BB-7421,Tool Crib,244
MS-2259,Sheet Metal Racks,321
RM-M823,Subassembly,558
HN-1024,Subassembly,281
HN-3816,Miscellaneous Storage,217
HN-1220,Miscellaneous Storage,294
BL-2036,Metal Storage,532
LE-5160,Tool Crib,417
SA-T467,Miscellaneous Storage,276
PA-361R,Paint Storage,24
LJ-3416,Miscellaneous Storage,507
GL-H102-S,Finished Goods Storage,324
RW-R762,Miscellaneous Storage,412
RW-T905,Miscellaneous Storage,265
BK-R89R-44,Final Assembly,51
FR-M94B-38,Frame Welding,161
SA-T612,Miscellaneous Storage,278
FE-6654,Finished Goods Storage,108
BK-R79Y-48,Finished Goods Storage,104
SE-T924,Subassembly,288
HB-T721,Frame Welding,257
CS-9183,Tool Crib,278
PA-529S,Paint Storage,12
LI-3800,Subassembly,361
HN-5400,Miscellaneous Storage,691
HN-4402,Tool Crib,148
HN-1220,Subassembly,388
HN-1024,Miscellaneous Storage,353
HN-9168,Subassembly,763
HN-7161,Tool Crib,603
CN-6137,Metal Storage,540
NI-9522,Miscellaneous Storage,420
LJ-9161,Miscellaneous Storage,524
BB-7421,Subassembly,212
BK-M18S-52,Finished Goods Storage,78
FW-M928,Subassembly,388
FR-R72Y-38,Paint,100
FK-1639,Metal Storage,350
FR-M94S-38,Frame Forming,105
BK-R89R-52,Final Assembly,81
BK-M68B-42,Final Assembly,83
BK-M82B-42,Finished Goods Storage,78
BK-R50B-52,Finished Goods Storage,104
SL-0931,Final Assembly,729
RW-M928,Miscellaneous Storage,396
PK-7098,Finished Goods Storage,180
BK-M38S-42,Finished Goods Storage,81
BK-M18B-42,Final Assembly,67
FR-M21B-40,Final Assembly,118
RB-9231,Subassembly,158
LN-7162,Tool Crib,614
LW-1201,Miscellaneous Storage,569
SA-M237,Miscellaneous Storage,268
RM-R600,Subassembly,350
RA-7490,Miscellaneous Storage,299
PB-6109,Tool Crib,336
MP-2503,Metal Storage,515
LN-3824,Subassembly,478
BL-2036,Subassembly,441
CN-6137,Tool Crib,569
CA-7457,Subassembly,305
CA-7457,Tool Crib,308
LE-7160,Subassembly,289
HJ-9080,Subassembly,275
HN-5162,Miscellaneous Storage,140
BK-T79Y-46,Final Assembly,83
FR-M94S-38,Subassembly,144
BK-M68S-46,Finished Goods Storage,32
BK-R50R-44,Final Assembly,62
BK-R68R-48,Final Assembly,78
BK-R19B-48,Finished Goods Storage,99
HJ-7161,Miscellaneous Storage,649
LI-1400,Tool Crib,422
LN-5162,Miscellaneous Storage,489
LJ-3410,Tool Crib,614
LI-7160,Tool Crib,244
LN-5811,Miscellaneous Storage,496
LN-5818,Miscellaneous Storage,499
LE-6000,Miscellaneous Storage,340
CA-6738,Metal Storage,171
BE-2349,Tool Crib,585
HJ-5161,Subassembly,569
HJ-1420,Miscellaneous Storage,601
FW-3800,Final Assembly,300
TT-T092,Subassembly,240
BK-M82S-42,Finished Goods Storage,88
BK-R50B-48,Final Assembly,60
FK-1639,Frame Forming,240
BK-R89B-58,Finished Goods Storage,65
BK-R93R-48,Final Assembly,108
BK-R93R-52,Final Assembly,76
BK-T18Y-50,Final Assembly,107
BK-R19B-58,Final Assembly,65
HJ-3410,Subassembly,619
BA-8327,Subassembly,364
HJ-9161,Miscellaneous Storage,350
LJ-3824,Miscellaneous Storage,504
NI-4127,Tool Crib,593
RA-2345,Subassembly,320
HB-T928,Frame Welding,254
TP-0923,Miscellaneous Storage,427
BK-M82S-38,Final Assembly,100
BK-R50R-58,Finished Goods Storage,112
FW-M762,Metal Storage,406
SB-M891-L,Finished Goods Storage,144
RW-R623,Subassembly,406
BK-R89R-58,Finished Goods Storage,104
SD-2342,Final Assembly,139
BK-R68R-60,Final Assembly,62
CA-1098,Finished Goods Storage,288
CH-0234,Metal Storage,192
RA-2345,Tool Crib,392
MS-2259,Metal Storage,427
MS-1981,Sheet Metal Racks,427
LJ-5162,Subassembly,488
LJ-5161,Miscellaneous Storage,502
LN-5811,Tool Crib,601
EC-R098,Subassembly,467
HJ-1428,Tool Crib,377
HN-3416,Tool Crib,587
LW-1201,Tool Crib,502
LJ-1428,Subassembly,492
MB-6061,Sheet Metal Racks,497
RM-M823,Miscellaneous Storage,689
BK-T79Y-60,Finished Goods Storage,51
BK-T79U-54,Finished Goods Storage,73
SH-M897-S,Finished Goods Storage,288
HB-R720,Frame Forming,254
HB-R956,Subassembly,300
HB-M763,Frame Forming,264
BK-R64Y-40,Final Assembly,60
BK-T18U-50,Finished Goods Storage,86
BK-T18Y-50,Finished Goods Storage,67
FR-M63S-38,Frame Welding,160
SE-M798,Miscellaneous Storage,230
PA-632U,Paint Storage,35
LJ-3824,Tool Crib,609
LN-1428,Miscellaneous Storage,515
LN-5818,Tool Crib,604
LN-1213,Miscellaneous Storage,534
FW-7160,Subassembly,251
FH-2981,Subassembly,267
DT-2377,Metal Storage,408
CA-5965,Tool Crib,283
SE-T762,Final Assembly,158
BK-M18B-40,Final Assembly,99
BB-8107,Subassembly,265
GL-F110-L,Finished Goods Storage,144
SH-W890-M,Finished Goods Storage,252
BK-R64Y-40,Finished Goods Storage,73
HS-0296,Subassembly,212
HB-M243,Frame Welding,276
BK-R50R-52,Finished Goods Storage,32
FR-M21S-40,Frame Welding,96
HN-1428,Subassembly,356
HU-8998,Frame Forming,212
LJ-5818,Subassembly,494
LW-1400,Tool Crib,504
MT-1000,Tool Crib,612
LW-7160,Tool Crib,515
RM-M692,Subassembly,550
LN-1032,Miscellaneous Storage,531
LJ-5161,Tool Crib,608
LE-7160,Miscellaneous Storage,337
FW-5800,Final Assembly,332
BK-T18Y-62,Finished Goods Storage,91
SE-M798,Final Assembly,120
BK-R19B-52,Final Assembly,116
BK-M68B-46,Final Assembly,62
